"bairro","cidade","bairro-2","cidade-2","distancia","distancia_km"
"BR-262, 5200 - Rio Branco"," CARIACICA","CENTRO"," MARECHAL FLORIANO",41720,"41,7 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","TREVO SANTA MARIA"," MARECHAL FLORIANO",51999,"52,0 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","PEDRA AZUL"," DOMINGOS MARTINS",83848,"83,8 km"
"BR-262, 5200 - Rio Branco"," CARIACICA","ESPLANADA"," VENDA NOVA",97992,"98,0 km"
"JARDIM CAMBURI"," VITORIA","BR-262, 5200 - Rio Branco"," CARIACICA",20902,"20,9 km"
"JARDIM CAMBURI"," VITORIA","JARDIM DA PENHA"," VITORIA",5141,"5,1 km"
"JARDIM CAMBURI"," VITORIA","ENSEADA DO SUÁ"," VITORIA",9598,"9,6 km"
"JARDIM CAMBURI"," VITORIA","FORTE SÃO JOÃO"," VITORIA",13542,"13,5 km"
"JARDIM CAMBURI"," VITORIA","SÃO CRISTOVÃO"," VITORIA",9087,"9,1 km"
"JARDIM CAMBURI"," VITORIA","SANTA MARTHA"," VITORIA",8989,"9,0 km"
"JARDIM CAMBURI"," VITORIA","JARDIM CAMBURI"," VITORIA",0,"1 m"
"JARDIM CAMBURI"," VITORIA","PRAIA DO CANTO"," VITORIA",5962,"6,0 km"
"JARDIM CAMBURI"," VITORIA","CENTRO"," VITORIA",6400,"6,4 km"
"JARDIM CAMBURI"," VITORIA","ITARARE"," VITORIA",8891,"8,9 km"
"JARDIM CAMBURI"," VITORIA","JABOUR"," VITORIA",5631,"5,6 km"
"JARDIM CAMBURI"," VITORIA","GRANDE VITÓRIA"," VITORIA",15290,"15,3 km"
"JARDIM CAMBURI"," VITORIA","ALTO LAGE"," CARIACICA",18630,"18,6 km"
"JARDIM CAMBURI"," VITORIA","OPERARIOS"," CARIACICA",31603,"31,6 km"
"JARDIM CAMBURI"," VITORIA","SANTA CECILIA"," CARIACICA",31271,"31,3 km"
"JARDIM CAMBURI"," VITORIA","VILA CAPIXABA"," CARIACICA",30223,"30,2 km"
"JARDIM CAMBURI"," VITORIA","VERA CRUZ"," CARIACICA",19065,"19,1 km"
"JARDIM CAMBURI"," VITORIA","CAMPO VERDE"," CARIACICA",26220,"26,2 km"
"JARDIM CAMBURI"," VITORIA","ITACIBA"," CARIACICA",18290,"18,3 km"
"JARDIM CAMBURI"," VITORIA","TUCUM"," CARIACICA",28211,"28,2 km"
"JARDIM CAMBURI"," VITORIA","ITANGUA"," CARIACICA",20304,"20,3 km"
"JARDIM CAMBURI"," VITORIA","PORTO DE SANTANA"," CARIACICA",17789,"17,8 km"
"JARDIM CAMBURI"," VITORIA","NOVA ROSA PENHA"," CARIACICA",21006,"21,0 km"
"JARDIM CAMBURI"," VITORIA","ITAPEMIRIM"," CARIACICA",21117,"21,1 km"
"JARDIM CAMBURI"," VITORIA","JARDIM CAMPO GRANDE"," CARIACICA",34992,"35,0 km"
"JARDIM CAMBURI"," VITORIA","SÃO GERALDO"," CARIACICA",20212,"20,2 km"
"JARDIM CAMBURI"," VITORIA","CAMPO GRANDE"," CARIACICA",19598,"19,6 km"
"JARDIM CAMBURI"," VITORIA","CRUZEIRO DO SUL"," CARIACICA",32353,"32,4 km"
"JARDIM CAMBURI"," VITORIA","JARDIM AMÉRICA"," CARIACICA",17092,"17,1 km"
"JARDIM CAMBURI"," VITORIA","CARIACICA SEDE"," CARIACICA",24132,"24,1 km"
"JARDIM CAMBURI"," VITORIA","BOA SORTE"," CARIACICA",18674,"18,7 km"
"JARDIM CAMBURI"," VITORIA","SÃO FRANCISCO"," CARIACICA",30948,"30,9 km"
"JARDIM CAMBURI"," VITORIA","VALE DOS REIS"," CARIACICA",33003,"33,0 km"
"JARDIM CAMBURI"," VITORIA","SANTO ANDRÉ"," CARIACICA",32950,"33,0 km"
"JARDIM CAMBURI"," VITORIA","FLEXAL II"," CARIACICA",26083,"26,1 km"
"JARDIM CAMBURI"," VITORIA","SÃO FRANCISCO"," CARIACICA",30948,"30,9 km"
"JARDIM CAMBURI"," VITORIA","SANTA BARBARA"," CARIACICA",32649,"32,6 km"
"JARDIM CAMBURI"," VITORIA","N R DA PENHA"," CARIACICA",20454,"20,5 km"
"JARDIM CAMBURI"," VITORIA","SANTO ANDRÉ"," CARIACICA",32950,"33,0 km"
"JARDIM CAMBURI"," VITORIA","PORTO DE CARIACICA"," CARIACICA",22538,"22,5 km"
"JARDIM CAMBURI"," VITORIA","SÃO GERALDO"," CARIACICA",20212,"20,2 km"
"JARDIM CAMBURI"," VITORIA","CASTELO BRANCO"," CARIACICA",22148,"22,1 km"
"JARDIM CAMBURI"," VITORIA","PLANETA 2"," CARIACICA",26008,"26,0 km"
"JARDIM CAMBURI"," VITORIA","VILA GRAUNA"," CARIACICA",27232,"27,2 km"
"JARDIM CAMBURI"," VITORIA","ROSA DA PENHA"," CARIACICA",20705,"20,7 km"
"JARDIM CAMBURI"," VITORIA","TIRADENTE"," CARIACICA",33171,"33,2 km"
"JARDIM CAMBURI"," VITORIA","BOM BOSCO"," CARIACICA",19602,"19,6 km"
"JARDIM CAMBURI"," VITORIA","VALE DA ESPERANÇA"," CARIACICA",18437,"18,4 km"
"JARDIM CAMBURI"," VITORIA","ITAQUARI. BELA AURORA"," CARIACICA",18992,"19,0 km"
"JARDIM CAMBURI"," VITORIA","CRUZEIRO DO SUL"," CARIACICA",32353,"32,4 km"
"JARDIM CAMBURI"," VITORIA","NOVA ROSA DA PENHA"," CARIACICA",21006,"21,0 km"
"JARDIM CAMBURI"," VITORIA","FLEXAL I"," CARIACICA",27867,"27,9 km"
"JARDIM CAMBURI"," VITORIA","NOVA BRASÍLIA"," CARIACICA",29671,"29,7 km"
"JARDIM CAMBURI"," VITORIA","JUCU"," VIANA",43716,"43,7 km"
"JARDIM CAMBURI"," VITORIA","SANTA TEREZINHA"," VIANA",36404,"36,4 km"
"JARDIM CAMBURI"," VITORIA","VILA BETÂNIA"," VIANA",32200,"32,2 km"
"JARDIM CAMBURI"," VITORIA","PEDRA MULATA"," VIANA",25019,"25,0 km"
"JARDIM CAMBURI"," VITORIA","ARLINDO VILASQUE"," VIANA",36656,"36,7 km"
"JARDIM CAMBURI"," VITORIA","VILA NOVA"," VIANA",37012,"37,0 km"
"JARDIM CAMBURI"," VITORIA","UNIVERSAL"," VIANA",36696,"36,7 km"
"JARDIM CAMBURI"," VITORIA","CARIOCA"," VIANA",537450,"537 km"
"JARDIM CAMBURI"," VITORIA","PRIMAVERA"," VIANA",34448,"34,4 km"
"JARDIM CAMBURI"," VITORIA","MARCILIO DE NORONHA"," VIANA",33482,"33,5 km"
"JARDIM CAMBURI"," VITORIA","BOM PASTOR"," VIANA",40611,"40,6 km"
"JARDIM CAMBURI"," VITORIA","VILA BETHANIA"," VIANA",32200,"32,2 km"
"JARDIM CAMBURI"," VITORIA","IPANEMA"," VIANA",36607,"36,6 km"
"JARDIM CAMBURI"," VITORIA","PRAIA DAS GAIVOTAS"," VILA VELHA",17682,"17,7 km"
"JARDIM CAMBURI"," VITORIA","CENTRO"," VILA VELHA",13525,"13,5 km"
"JARDIM CAMBURI"," VITORIA","SANTOS DUMONT"," VILA VELHA",15772,"15,8 km"
"JARDIM CAMBURI"," VITORIA","JARDIM MARILÂNDIA"," VILA VELHA",18955,"19,0 km"
"JARDIM CAMBURI"," VITORIA","RIO MARINHO"," VILA VELHA",20538,"20,5 km"
"JARDIM CAMBURI"," VITORIA","RIVIEIRA DA BARRA"," VILA VELHA",23683,"23,7 km"
"JARDIM CAMBURI"," VITORIA","GLÓRIA"," VILA VELHA",15092,"15,1 km"
"JARDIM CAMBURI"," VITORIA","VALE ENCANTADO"," VILA VELHA",24631,"24,6 km"
"JARDIM CAMBURI"," VITORIA","PRAIA DA COSTA"," VILA VELHA",13001,"13,0 km"
"JARDIM CAMBURI"," VITORIA","JARDIM ASTECA"," VILA VELHA",17598,"17,6 km"
"JARDIM CAMBURI"," VITORIA","TERRA VERMELHA"," VILA VELHA",27458,"27,5 km"
"JARDIM CAMBURI"," VITORIA","PRAIA DE ITAPARICA"," VILA VELHA",15372,"15,4 km"
"JARDIM CAMBURI"," VITORIA","ALECRIM"," VILA VELHA",19424,"19,4 km"
"JARDIM CAMBURI"," VITORIA","DIVINO ESPIRITO SANTO"," VILA VELHA",13199,"13,2 km"
"JARDIM CAMBURI"," VITORIA","BOA VISTA"," VILA VELHA",13603,"13,6 km"
"JARDIM CAMBURI"," VITORIA","SANTA MONICA"," VILA VELHA",15926,"15,9 km"
"JARDIM CAMBURI"," VITORIA","ILHA DOS BENTOS"," VILA VELHA",16577,"16,6 km"
"JARDIM CAMBURI"," VITORIA","NOVA ALMEIDA"," SERRA",31780,"31,8 km"
"JARDIM CAMBURI"," VITORIA","BOULEVARD LAGOA"," SERRA",16752,"16,8 km"
"JARDIM CAMBURI"," VITORIA","PARQUE JACARAIPE"," SERRA",20389,"20,4 km"
"JARDIM CAMBURI"," VITORIA","CENTRAL DE CARAPINA"," SERRA",8466,"8,5 km"
"JARDIM CAMBURI"," VITORIA","JARDIM ATLANTICO"," SERRA",21977,"22,0 km"
"JARDIM CAMBURI"," VITORIA","LARANJEIRAS VELHAS"," SERRA",11145,"11,1 km"
"JARDIM CAMBURI"," VITORIA","CIDADE POMAR"," SERRA",16518,"16,5 km"
"JARDIM CAMBURI"," VITORIA","PRAIA CARAPEUS"," SERRA",15118,"15,1 km"
"JARDIM CAMBURI"," VITORIA","COLINA LARANJEIRA"," SERRA",11907,"11,9 km"
"JARDIM CAMBURI"," VITORIA","RESIDENCIAL JACARAI"," SERRA",22959,"23,0 km"
"JARDIM CAMBURI"," VITORIA","JARDIM CARAPINA"," SERRA",6319,"6,3 km"
"JARDIM CAMBURI"," VITORIA","CARAPINA GRANDE"," SERRA",6816,"6,8 km"
"JARDIM CAMBURI"," VITORIA","NOVO HORIZONTE"," SERRA",9214,"9,2 km"
"JARDIM CAMBURI"," VITORIA","PLANALTO SERRANO"," SERRA",18536,"18,5 km"
"JARDIM CAMBURI"," VITORIA","VALPARAISO"," SERRA",10153,"10,2 km"
"JARDIM CAMBURI"," VITORIA","CIVIT II"," SERRA",13347,"13,3 km"
"JARDIM CAMBURI"," VITORIA","ITAPEBUSSU"," GUARAPARI",63919,"63,9 km"
"JARDIM CAMBURI"," VITORIA","RECANTO DA SEREIA"," GUARAPARI",37252,"37,3 km"
"JARDIM CAMBURI"," VITORIA","SÃO JUDAS TADEU"," GUARAPARI",65263,"65,3 km"
"JARDIM CAMBURI"," VITORIA","MEAIPE"," GUARAPARI",77228,"77,2 km"
"JARDIM CAMBURI"," VITORIA","BELA VISTA"," COLATINA",128536,"129 km"
"JARDIM CAMBURI"," VITORIA","CENTRO"," COLATINA",129065,"129 km"
"JARDIM CAMBURI"," VITORIA","NOSSA SENHORA DA APARECIDA"," COLATINA",129273,"129 km"
"CENTRO"," VITORIA","PRAIA DO CANTO"," VITORIA",693,"0,7 km"
"JARDIM CAMBURI"," VITORIA","CENTRO"," MARECHAL FLORIANO",71266,"71,3 km"
"JARDIM CAMBURI"," VITORIA","TREVO SANTA MARIA"," MARECHAL FLORIANO",81545,"81,5 km"
"JARDIM CAMBURI"," VITORIA","PEDRA AZUL"," DOMINGOS MARTINS",113394,"113 km"
"JARDIM CAMBURI"," VITORIA","ESPLANADA"," VENDA NOVA",127537,"128 km"
"JARDIM DA PENHA"," VITORIA","BR-262, 5200 - Rio Branco"," CARIACICA",17006,"17,0 km"
"JARDIM DA PENHA"," VITORIA","JARDIM CAMBURI"," VITORIA",5517,"5,5 km"
"JARDIM DA PENHA"," VITORIA","ENSEADA DO SUÁ"," VITORIA",4585,"4,6 km"
"JARDIM DA PENHA"," VITORIA","FORTE SÃO JOÃO"," VITORIA",9646,"9,6 km"
"JARDIM DA PENHA"," VITORIA","SÃO CRISTOVÃO"," VITORIA",3521,"3,5 km"
"JARDIM DA PENHA"," VITORIA","SANTA MARTHA"," VITORIA",3422,"3,4 km"
"JARDIM DA PENHA"," VITORIA","JARDIM CAMBURI"," VITORIA",5517,"5,5 km"
"JARDIM DA PENHA"," VITORIA","PRAIA DO CANTO"," VITORIA",2065,"2,1 km"
"JARDIM DA PENHA"," VITORIA","CENTRO"," VITORIA",1770,"1,8 km"
"JARDIM DA PENHA"," VITORIA","ITARARE"," VITORIA",3324,"3,3 km"
"JARDIM DA PENHA"," VITORIA","JABOUR"," VITORIA",4402,"4,4 km"
"JARDIM DA PENHA"," VITORIA","GRANDE VITÓRIA"," VITORIA",9723,"9,7 km"
"JARDIM DA PENHA"," VITORIA","ALTO LAGE"," CARIACICA",14734,"14,7 km"
"JARDIM DA PENHA"," VITORIA","OPERARIOS"," CARIACICA",21905,"21,9 km"
"JARDIM DA PENHA"," VITORIA","SANTA CECILIA"," CARIACICA",16858,"16,9 km"
"JARDIM DA PENHA"," VITORIA","VILA CAPIXABA"," CARIACICA",17028,"17,0 km"
"JARDIM DA PENHA"," VITORIA","VERA CRUZ"," CARIACICA",15169,"15,2 km"
"JARDIM DA PENHA"," VITORIA","CAMPO VERDE"," CARIACICA",29534,"29,5 km"
"JARDIM DA PENHA"," VITORIA","ITACIBA"," CARIACICA",14394,"14,4 km"
"JARDIM DA PENHA"," VITORIA","TUCUM"," CARIACICA",16341,"16,3 km"
"JARDIM DA PENHA"," VITORIA","ITANGUA"," CARIACICA",16407,"16,4 km"
"JARDIM DA PENHA"," VITORIA","PORTO DE SANTANA"," CARIACICA",13892,"13,9 km"
"JARDIM DA PENHA"," VITORIA","NOVA ROSA PENHA"," CARIACICA",24321,"24,3 km"
"JARDIM DA PENHA"," VITORIA","ITAPEMIRIM"," CARIACICA",17221,"17,2 km"
"JARDIM DA PENHA"," VITORIA","JARDIM CAMPO GRANDE"," CARIACICA",21474,"21,5 km"
"JARDIM DA PENHA"," VITORIA","SÃO GERALDO"," CARIACICA",16316,"16,3 km"
"JARDIM DA PENHA"," VITORIA","CAMPO GRANDE"," CARIACICA",15702,"15,7 km"
"JARDIM DA PENHA"," VITORIA","CRUZEIRO DO SUL"," CARIACICA",17091,"17,1 km"
"JARDIM DA PENHA"," VITORIA","JARDIM AMÉRICA"," CARIACICA",13196,"13,2 km"
"JARDIM DA PENHA"," VITORIA","CARIACICA SEDE"," CARIACICA",27447,"27,4 km"
"JARDIM DA PENHA"," VITORIA","BOA SORTE"," CARIACICA",14777,"14,8 km"
"JARDIM DA PENHA"," VITORIA","SÃO FRANCISCO"," CARIACICA",18989,"19,0 km"
"JARDIM DA PENHA"," VITORIA","VALE DOS REIS"," CARIACICA",23157,"23,2 km"
"JARDIM DA PENHA"," VITORIA","SANTO ANDRÉ"," CARIACICA",19431,"19,4 km"
"JARDIM DA PENHA"," VITORIA","FLEXAL II"," CARIACICA",29398,"29,4 km"
"JARDIM DA PENHA"," VITORIA","SÃO FRANCISCO"," CARIACICA",18989,"19,0 km"
"JARDIM DA PENHA"," VITORIA","SANTA BARBARA"," CARIACICA",19131,"19,1 km"
"JARDIM DA PENHA"," VITORIA","N R DA PENHA"," CARIACICA",16558,"16,6 km"
"JARDIM DA PENHA"," VITORIA","SANTO ANDRÉ"," CARIACICA",19431,"19,4 km"
"JARDIM DA PENHA"," VITORIA","PORTO DE CARIACICA"," CARIACICA",25852,"25,9 km"
"JARDIM DA PENHA"," VITORIA","SÃO GERALDO"," CARIACICA",16316,"16,3 km"
"JARDIM DA PENHA"," VITORIA","CASTELO BRANCO"," CARIACICA",18252,"18,3 km"
"JARDIM DA PENHA"," VITORIA","PLANETA 2"," CARIACICA",29322,"29,3 km"
"JARDIM DA PENHA"," VITORIA","VILA GRAUNA"," CARIACICA",30546,"30,5 km"
"JARDIM DA PENHA"," VITORIA","ROSA DA PENHA"," CARIACICA",16809,"16,8 km"
"JARDIM DA PENHA"," VITORIA","TIRADENTE"," CARIACICA",19653,"19,7 km"
"JARDIM DA PENHA"," VITORIA","BOM BOSCO"," CARIACICA",15706,"15,7 km"
